kanji,hiragana,english,kanji_required
伝える,つたえる,to report,
続く,つづく,to be continued,
続ける,つづける,to continue,
包む,つつむ,to wrap,
妻,つま,my wife,
,つもり,intention,
釣る,つる,to fish,
丁寧,ていねい,polite,
適当,てきとう,suitability,
手伝う,てつだう,to assist,
手袋,てぶくろ,glove,
寺,てら,temple,
点,てん,"point,dot",
店員,てんいん,shop assistant,
天気予報,てんきよほう,weather forecast,
電灯,でんとう,electric light,
電報,でんぽう,telegram,
展覧会,てんらんかい,exhibition,
都,と,metropolitan,
道具,どうぐ,"tool,means",
,とうとう,"finally, after all",
動物園,どうぶつえん,zoo,
遠く,とおく,distant,
通る,とおる,to go through,
特に,とくに,"particularly,especially",
特別,とくべつ,special,
,とこや,barber,
途中,とちゅう,on the way,
特急,とっきゅう,limited express train (faster than an express train),
届ける,とどける,"to send, to deliver, to report",
泊まる,とまる,to lodge at,
止める,とめる,to stop something,
取り替える,とりかえる,to exchange,
泥棒,どろぼう,thief,
,どんどん,more and more,
直す,なおす,"to fix,to repair",
直る,なおる,"to be fixed,to be repaired",
治る,なおる,"to be cured,to heal",
泣く,なく,to weep,
無くなる,なくなる,"to disappear,to get lost",
亡くなる,なくなる,to die,
投げる,なげる,to throw or cast away,
,なさる,(respectful) to do,
鳴る,なる,to sound,
,なるべく,as much as possible,
,なるほど,now I understand,
慣れる,なれる,to grow accustomed to,
苦い,にがい,bitter,
二階建て,にかいだて,two storied,
逃げる,にげる,to escape,
日記,にっき,journal,
入院,にゅういん・する,"to hospitalise, hospitalisation",
入学,にゅうがく・する,to enter school or university,
似る,にる,to be similar,
人形,にんぎょう,"doll, figure",
盗む,ぬすむ,to steal,
塗る,ぬる,"to paint, to colour, to plaster",
,ぬれる,to get wet,
,ねだん,price,
熱,ねつ,fever,
寝坊,ねぼう,sleeping in late,
眠い,ねむい,sleepy,
眠る,ねむる,to sleep,
残る,のこる,to remain,
乗り換える,のりかえる,to change between buses or trains,
乗り物,のりもの,vehicle,
葉,は,leaf,
場合,ばあい,situation,
倍,ばい,double,
拝見,はいけん・する,(humble) to look at,
歯医者,はいしゃ,dentist,
運ぶ,はこぶ,to transport,
始める,はじめる,to begin,
場所,ばしょ,location,
,はず,it should be so,
恥ずかしい,はずかしい,embarrassed,
発音,はつおん,pronunciation,
,はっきり,clearly,
花見,はなみ,cherry-blossom viewing,x
林,はやし,"woods,forester",
払う,はらう,to pay,
番組,ばんぐみ,television or radio program,
反対,はんたい,opposition,
日,ひ,"day, sun",x
火,ひ,fire,x
冷える,ひえる,to grow cold,
光,ひかり,light,
光る,ひかる,"to shine,to glitter",
引き出し,ひきだし,"drawer,drawing out",
,ひきだす,to withdraw,
,ひげ,beard,
飛行場,ひこうじょう,airport,
久しぶり,ひさしぶり,after a long time,,
美術館,びじゅつかん,art gallery,
非常に,ひじょうに,extremely,
引っ越す,ひっこす,to move house,
必要,ひつよう,necessary,
,ひどい,awful,
開く,ひらく,to open an event,
昼間,ひるま,"daytime,during the day",
昼休み,ひるやすみ,noon break,
拾う,ひろう,"to pick up,to gather",
増える,ふえる,to increase,
深い,ふかい,deep,
複雑,ふくざつ,"complexity,complication",
復習,ふくしゅう,revision,
部長,ぶちょう,head of a section,
普通,ふつう,"usually, or a train that stops at every station",
,ぶどう,grapes,
太る,ふとる,to become fat,
布団,ふとん,"Japanese bedding, futon",
舟,ふね,ship,
不便,ふべん,inconvenience,
踏む,ふむ,to step on,
降り出す,ふりだす,to start to rain,
文化,ぶんか,culture,
文学,ぶんがく,literature,
文法,ぶんぽう,grammar,
別,べつ,different,
変,へん,strange,
返事,へんじ,reply,
貿易,ぼうえき,trade,
法律,ほうりつ,law,
僕,ぼく,I (used by males),
星,ほし,star,
,ほとんど,mostly,
,ほめる,to praise,
翻訳,ほんやく,translation,
参る,まいる,"(humble) to go,to come",
負ける,まける,to lose,
,または,"or,otherwise",
間違える,まちがえる,to make a mistake,
間に合う,まにあう,to be in time for,
周り,まわり,surroundings,
回る,まわる,to go around,
漫画,まんが,comic,
真中,まんなか,middle,
見える,みえる,to be in sight,
湖,みずうみ,lake,
味噌,みそ,"miso, soybean paste",
見つかる,みつかる,to be discovered,
見つける,みつける,to discover,
皆,みな,everybody,
港,みなと,harbour,
向かう,むかう,to face,
迎える,むかえる,to go out to meet,
昔,むかし,"old times, old days, long ago, formerly",
虫,むし,insect,
息子,むすこ,(humble) son,
娘,むすめ,(humble) daughter,
無理,むり,impossible,
召し上がる,めしあがる,(polite) to eat,
珍しい,めずらしい,rare,
申し上げる,もうしあげる,"(humble) to say,to tell",
申す,もうす,"(humble) to be called,to say",
,もうすぐ,soon,
,もし,if,
戻る,もどる,to turn back,
木綿,もめん,cotton,
森,もり,forest,
焼く,やく,"to bake,to grill",
約束,やくそく,promise,
役に立つ,やくにたつ,to be helpful,
焼ける,やける,"to burn,to be roasted",
優しい,やさしい,kind,
痩せる,やせる,to become thin,
,やっと,at last,
止む,やむ,to stop,
止める,やめる,to stop,
柔らかい,やわらかい,soft,
湯,ゆ,hot water,
指,ゆび,finger,
指輪,ゆびわ,a ring,
夢,ゆめ,dream,
揺れる,ゆれる,"to shake,to sway",
用,よう,use,
用意,ようい,preparation,
用事,ようじ,things to do,
汚れる,よごれる,to get dirty,
予習,よしゅう,preparation for a lesson,
予定,よてい,arrangement,
予約,よやく,reservation,
寄る,よる,to visit,
喜ぶ,よろこぶ,to be delighted,
理由,りゆう,reason,
利用,りよう,utilization,
両方,りょうほう,both sides,
旅館,りょかん,Japanese hotel,
留守,るす,absence,
冷房,れいぼう,air conditioning,
歴史,れきし,history,
連絡,れんらく,contact,
沸かす,わかす,"to boil,to heat",
別れる,わかれる,to separate,
沸く,わく,"to boil, to grow hot,to get excited",
訳,わけ,"meaning,reason",
忘れ物,わすれもの,lost article,
笑う,わらう,"to laugh,to smile",
割合,わりあい,"rate,ratio,percentage",
割れる,われる,to break,
,アクセサリー,accessory,
,アジア,Asia,
,アナウンサー,announcer,
,アフリカ,Africa,
,アメリカ,America,
,アルコール,alcohol,
,アルバイト,part-time job,
,エスカレーター,escalator,
,オートバイ,motorcycle,
,カーテン,curtain,
,ガス,gas,
,ガソリン,petrol,
,ガソリンスタンド,petrol station,
,ガラス,a glass pane,
,ケーキ,cake,
消しゴム,けしゴム,"eraser, rubber",
,コンサート,concert,
,コンピューター,computer,
,サラダ,salad,
,サンダル,sandal,
,サンドイッチ,sandwich,
,ジャム,jam,
,スーツ,suit,
,スーツケース,suitcase,
,スクリーン,screen,
,ステーキ,steak,
,ステレオ,stereo,
,ソフト,soft,
,タイプ,"type,style",
,チェック・する,to check,
,テキスト,"text,text book",
,テニス,tennis,
,パート,part time,
,パソコン,personal computer,
,ハンドバッグ,handbag,
,ピアノ,piano,
,ビル,building or bill,
,ファックス,fax,
,プレゼント,present,
,ベル,bell,
,レジ,register,
,レポート/リポート,report,
,ワープロ,word processor,
